,dummy_spring,sale_year,title,artist,artist_birth_year 1,artist_alive,Medium,execution_year,height,width,dummy_signed,num_owners,num_exhibits,num_lit,lot_number,house_estimate_lower,house_estimate_upper,sale_price,sold
0,0,2010,THE SEVEN ACTS OF MERCY,2,1970,1,7,2004.0,284.5,630.6,0,2,1,1,49,1500000,2000000,2322500.0,1
1,0,2010,COWBOY,94,1923,1,8,1958.0,114.0,110.0,1,4,1,7,27,1800000,2500000,1762500.0,1
2,0,2010,MATROSEN (SAILORS),128,1932,1,8,1966.0,150.0,200.0,1,4,9,4,36,6000000,8000000,13242500.0,1
3,0,2010,FRANKFURT,86,1955,1,4,2007.0,238.0,506.0,0,1,2,1,8,1200000,1800000,2098500.0,1
4,0,2010,COCA-COLA [4] [LARGE COCA-COLA],93,1928,0,7,1962.0,207.6,144.1,1,5,6,9,12,20000000,25000000,35362500.0,1
5,0,2010,"VUE DE PARIS, LE PETIT COMMERCE",100,1901,0,8,1944.0,73.0,92.0,1,3,3,9,38,3000000,4000000,2100000.0,0
6,0,2010,FLOWERS,93,1928,0,7,1964.0,61.0,61.0,0,1,1,0,9,2500000,3500000,2658500.0,1
7,0,2010,MONTAUK III,133,1904,0,8,1969.0,184.2,179.2,1,1,2,4,25,5000000,7000000,9938500.0,1
8,0,2010,UNTITLED,99,1903,0,7,1968.0,84.5,65.5,0,8,1,0,34,800000,1200000,1082500.0,1
9,0,2010,PINK SEA,54,1913,0,8,1978.0,121.9,152.4,1,1,4,1,41,1500000,2000000,1538500.0,1
10,0,2010,THE ROAD TO MALIBU,124,1937,1,8,1988.0,61.0,243.8,1,2,2,1,52,800000,1200000,1142500.0,1
11,0,2010,WHEN WE STAY,103,1957,1,5,1997.0,609.6,487.0,0,2,1,0,2,500000,700000,2098500.0,1
12,0,2010,COCA-COLA,93,1928,0,4,1962.0,60.8,45.5,1,4,1,0,18,1000000,1500000,1482500.0,1
13,0,2010,UNTITLED,83,1958,0,7,1985.0,294.6,365.8,1,3,1,1,45,900000,1200000,1082500.0,1
14,0,2010,THE LAST SUPPER,93,1928,0,2,1986.0,101.6,101.6,0,3,3,1,16,4000000,6000000,6802500.0,1
15,0,2010,DIAMOND DUST SHOES,93,1928,0,7,1980.0,228.6,177.8,1,1,1,0,55,1200000,1800000,1426500.0,1
16,0,2010,EXILE,87,1925,0,4,1962.0,151.1,90.2,1,3,6,8,28,5000000,7000000,8034500.0,1
17,0,2010,UNTITLED (P180),68,1955,1,6,1993.0,228.6,152.4,1,2,1,0,3,1200000,1800000,1762500.0,1
18,0,2010,FRENCH MONEY III,92,1923,0,8,1962.0,89.0,150.0,1,2,1,0,11,300000,400000,1142500.0,1
19,0,2010,UNTITLED,99,1903,0,8,1955.0,232.7,175.3,1,3,8,5,21,20000000,30000000,22482500.0,1
20,0,2010,PAKIDERM,58,1960,0,7,1984.0,218.4,165.1,0,1,3,3,46,2000000,3000000,1594500.0,1
21,0,2010,ICE CREAM SODA,15,1923,0,8,1962.0,164.5,81.7,1,2,4,9,17,12000000,18000000,14082500.0,1
