,0
1,1704214.087762176
2,1277026.1120828735
3,11257059.878315004
4,1166962.0616615133
5,34895450.0
6,1235222.7569160245
7,2342024.5072338493
8,3298108.3360128766
9,1023389.8921573795
10,1456231.0930850557
11,756293.1598822474
12,2226427.3875184935
13,2780356.398933368
14,2385353.1461781235
15,8113397.767857144
16,757909.6713546333
17,9201258.894282581
18,1915685.6017359293
19,1414483.4473951636
20,10704871.228709705
21,1883270.7508507022
22,11105470.0
23,1873118.1791229777
24,2843648.2984821396
25,2745664.395799826
26,5315998.666666666
27,1732919.1134926265
28,2725084.0958275544
29,1673081.8958387917
30,1160040.2247484263
31,3257582.654437794
32,3315922.353192419
33,4715029.471500721
34,1842197.5564640982
35,2182839.499280403
36,6514353.1028095605
37,1196081.2192832606
38,823809.0711192164
39,755870.8639248918
40,876829.9747366331
41,3889188.345238095
42,1064878.9815322254
43,1101862.444259972
44,851950.3197677581
45,3289953.9465659247
46,2740910.6396025554
47,1594766.9602888399
48,2926638.2626527227
49,5758394.987911668
50,924350.423814378
51,31649005.95238095
52,3353857.346702221
53,772484.8339036205
54,10323193.218319654
55,761331.4681201129
56,949475.5785721409
57,2938115.2229967713
58,1335799.1370776526
59,1107868.0933247015
60,1156313.8714579828
61,1197118.882026196
62,1010163.4061844326
63,4439891.387974609
64,3139786.545702153
65,3844495.3304033834
66,3756309.4899069117
67,1059582.5245755087
68,3839984.819415686
69,3118896.4537815126
70,1232601.0016843157
71,2672289.189085682
72,1158995.1273049128
73,1122750.4888890143
74,1170609.387858344
75,2389405.9265876445
76,2294324.0932956543
77,3024728.889153033
78,3924155.9743589745
79,707001.3955750826
80,704471.5395535267
81,3523639.284973159
82,5095450.531774373
83,7421374.4584795525
84,1463392.5860532206
85,2547150.8640050604
86,2037963.2911853683
87,827287.2395139538
88,3865494.2122072172
89,670377.3699364417
90,1188213.0107874346
91,1618121.6992669054
92,1500570.9747063953
93,811660.8732698062
94,1362863.2256174297
95,2415894.665138224
96,1967350.2761896288
97,7117931.720108563
98,1014699.4513699826
99,705859.1259865238
100,2026079.5462710776
101,1044435.8115511622
102,1099594.7927387014
103,1868166.0559851078
104,2417885.7776921196
105,15248529.047619047
106,19813844.987012986
107,3302674.2633097903
108,25709712.02380953
109,1164579.4308699914
110,8227205.517915788
111,2093731.9326842406
112,915148.9169872454
113,717436.1898282479
114,1050083.514319685
115,1198552.505367242
116,2159876.9818901415
117,1072485.0269720985
118,2178004.3208645177
119,2834310.7871148456
120,2020065.257774769
121,12107310.0
122,6977326.620470338
123,882730.1195377369
124,1364490.172846299
125,1840974.8550430937
126,1354468.1410334134
127,2127669.652072824
128,2913066.504935571
129,4201842.052177153
130,1456498.7598598527
131,2671428.429466646
132,2526806.4605700453
133,2540293.328272615
134,3269273.1582580395
135,4463540.212730861
136,1380462.897901932
137,2959293.509215257
138,3937796.711399711
139,3838103.9821170606
140,4338454.045673012
141,2724274.5049746507
142,1431400.4615342831
143,5913852.0673278235
144,1656807.4165427294
145,5765445.793501203
146,2782785.947292474
147,3106364.749537277
148,2113816.410856179
149,2091830.2676578525
150,2551511.6326706917
151,24340700.0
