,0
710,9176237.264602246
711,1278427.8958608357
712,2452154.0884118224
713,908658.6329122351
714,3599919.251682714
715,3297552.825993269
716,16779597.085470084
717,3287435.5386253167
718,1336362.6694693747
719,2155989.036670908
720,8040444.422133932
721,3291396.709999021
722,3514631.3630200517
723,5716572.703382688
724,2781658.560122185
725,2014375.6210706457
726,2242440.1233642134
727,3513343.2240274395
728,2409455.7030262216
729,12229390.868614716
730,17486843.111111112
731,14687842.766788766
732,12493507.852007471
733,7626391.446690762
734,2632861.99187568
735,5701396.40604279
736,9372856.245800214
737,2390154.926647437
738,2572813.6598407035
739,7892435.680738412
740,6029194.413692626
741,1299805.0939693865
742,2491820.581829312
743,1279742.6486346084
744,1336760.7297769838
745,1375097.538718593
746,2928406.3128561634
747,3407208.3446924756
748,2164575.7745641773
749,2256620.343375933
750,10129115.246437684
751,11424793.437728936
752,3059759.0087538618
753,5762570.374968874
754,8336761.581408803
755,6427438.731610306
756,2136504.7925414024
