,0
1,3566146.417894421
2,1480129.516088042
3,4009137.72167867
4,1788111.8525134614
5,9987341.340244126
6,1567741.5504140118
7,2768171.3193088924
8,7630515.163724823
9,2735906.813281063
10,1073320.5829735557
11,1033311.9690880633
12,3254379.7921685213
13,3105773.8759809607
14,2856915.8414511667
15,8838061.833695179
16,1762259.7702258236
17,10277240.914617985
18,3337950.5727930623
19,934862.90735764
20,8890757.656552436
21,1290930.8019694597
22,11799928.920271926
23,1535257.7283605593
24,4202555.750256832
25,2690513.6435124977
26,10534964.808802309
27,2362998.231807214
28,7248800.593900537
29,3567737.000548754
30,1556550.1933273673
31,4139196.5493447944
32,6903832.478276409
33,6824734.725724688
34,1765878.875988774
35,1327388.318023781
36,14776366.124422822
37,2272623.985516868
38,2751111.8443172397
39,1245815.4811413912
40,4527003.823335216
41,14975242.098195696
42,1263738.1226054523
43,2837892.1713662487
44,779800.6173140921
45,4676290.891886869
46,2224586.982476804
47,5299807.533128958
48,3146892.7737554703
49,17877328.16377204
50,1525061.8621666818
51,13613356.203774534
52,3477667.373420884
53,959883.6515724221
54,11654089.398536826
55,3747895.4724739846
56,722188.8572554898
57,5386192.606716162
58,2608776.4972094516
59,2818124.710720135
60,3250328.3906117734
61,1324879.819828022
62,1939938.1957078492
63,5647658.679758597
64,2444589.6917042155
65,3772195.658089974
66,4004911.593638139
67,2107027.910506218
68,9224711.186467024
69,1674659.3845283627
70,1813451.6198234418
71,1610024.988937706
72,1224449.1187343234
73,3113099.04267408
74,1553140.1077568624
75,4437726.703492734
76,862453.4322054085
77,6969575.844505494
78,6831392.112951654
79,1552005.4517216876
80,1399723.2148860963
81,3503878.198498383
82,9712784.705632607
83,5585030.760712273
84,3592200.3981459197
85,4806181.459643645
86,1928399.7609026232
87,2358309.638123723
88,5230315.398717394
89,1256209.880004328
90,2951571.435762079
91,1638982.7825310633
92,1878928.1957078492
93,1517146.1234737486
94,808257.8136988198
95,5026249.13689434
96,1368876.7885598328
97,4462017.5195063315
98,1362247.1621320283
99,1143942.3017921364
100,2583392.2054684497
101,5423572.790297955
102,1362444.1531613553
103,1780030.240920515
104,6252889.417082917
105,9304077.295025492
106,16392214.601028474
107,4408371.941117248
108,5165182.556192654
109,2047694.992144325
110,4982667.086092211
111,2558271.341566943
112,2497969.8345691394
113,1714812.8749591247
114,932609.0646238587
115,1561283.1084403917
116,2345565.0791798565
117,1295184.0705325424
118,2304119.472923497
119,2626724.001716296
120,1590026.3522787995
121,12296927.687258687
122,9652428.705663402
123,1909426.6172090915
124,1075913.2507429884
125,2414828.211238998
126,1809781.722966987
127,1866465.3895757594
128,1470151.8849765006
129,6759564.093155243
130,1725240.5631769171
131,2388178.59656143
132,1293885.0696719552
133,1851625.906057112
134,5408614.2905212315
135,8575610.784096727
136,5401475.47142857
137,3995342.6285780673
138,10067846.744920282
139,2552047.2319236975
140,4394884.891947947
141,2198010.6789773377
142,2206767.191429776
143,5013436.886209578
144,7931428.287878789
